Genes	Groups
Clic5	Group I
Msln	Group I
Rtkn2	Group I
Cav1	Group I
Hopx	Group I
Sdpr	Group I
Gm11744	Group I
2200002D01Rik	Group I
Tmem37	Group I
S100a6	Group I
Lgals3	Group I
Ahnak	Group I
Tns1	Group I
Gprc5a	Group I
1190002H23Rik	Group I
Lmo7	Group I
Ager	Group I
Pmp22	Group I
Timp3	Group I
Cryab	Group I
Igfbp6	Group I
Clic3	Group I
Myo1c	Group I
Vegfa	Group I
AU021092	Group I
Emp2	Group I
Pxdn	Group I
Adrb2	Group I
Sec14l3	Group I
Tinagl1	Group I
Aqp1	Group I
Myl6	Group I
Itgb6	Group I
Scnn1a	Group I
Cav2	Group I
Marcks	Group II
Mdk	Group II
Mia1	Group II
Ranbp1	Group II
Cks1b	Group II
Grb10	Group II
Tubb5	Group II
2810417H13Rik	Group II
Kif20b	Group II
Tspan6	Group II
Top2a	Group II
Cldn6	Group II
Tuba1a	Group II
Col18a1	Group II
Cdca3	Group II
Cnn3	Group II
Smc2	Group II
Gm6682	Group II
Phgdh	Group II
Ptprs	Group II
Cdk1	Group II
Tspan3	Group II
H19	Group II
Mcm3	Group II
Hist1h4d	Group II
Cbx5	Group II
Hist1h2ah	Group II
Uhrf1	Group II
Ube2c	Group II
Ccnb1	Group II
Cenpe	Group II
D2Ertd750e	Group II
Kif11	Group II
Rangap1	Group II
Stmn1	Group II
Tk1	Group II
Bmp1	Group II
Spc25	Group II
Parp1	Group II
Hmga1-rs1	Group II
Kif15	Group II
Nucks1	Group II
Birc5	Group II
Usp1	Group II
Pbk	Group II
Pmf1	Group II
Ccnd1	Group II
Pdia6	Group II
Tyms	Group II
Mad2l1	Group II
Tmem97	Group II
Sox11	Group II
Pik3c2b	Group IIIa
Mmp11	Group IIIa
2310046O06Rik	Group IIIa
Mfsd5	Group IIIa
Thbs3	Group IIIa
Fkbp10	Group IIIa
A730008H23Rik	Group IIIa
Nsl1	Group IIIa
Fam89a	Group IIIa
Cdc45	Group IIIa
Fancb	Group IIIa
E130307A14Rik	Group IIIa
Prnp	Group IIIb
Tmem213	Group IIIb
Meg3	Group IIIb
Slc6a6	Group IIIb
Acot7	Group IIIb
Pi4k2b	Group IIIb
Scp2	Group IIIb
Ank2	Group IIIb
Idi1	Group IIIb
Gclc	Group IIIb
Rpl9	Group IIIb
Emb	Group IIIb
Rn4.5s	Group IIIb
Oat	Group IIIb
0610007L01Rik	Group IIIb
Acly	Group IIIb
Rpl23	Group IIIb
Mlc1	Group IV
Mettl7a2	Group IV
Hp	Group IV
Itih4	Group IV
D330041H03Rik	Group IV
C6	Group IV
H2-D1	Group IV
Chia	Group IV
H2-K1	Group IV
Snhg11	Group IV
Nupr1	Group IV
Baiap2l1	Group IV
Il33	Group IV
Pon3	Group IV
Elovl1	Group IV
Aox3 	Group IV
Mettl7a1	Group IV
Aqp5	Group IV
H2-Eb1	Group IV
Cd74	Group IV
Sepp1	Group IV
Lcn2	Group IV
H2-Ab1	Group IV
Rnase4	Group IV
Hc	Group IV
Lamp3	Group IV
Cd36	Group IV
Cbr2	Group IV
Lyz1	Group IV
S100g	Group IV
H2-Aa	Group IV
Cxcl15	Group IV
Chi3l1	Group IV
Sftpa1	Group IV
Scd1	Group IV
Napsa	Group IV
Sftpb	Group IV
Lyz2	Group IV
Slc34a2	Group IV
Sftpd	Group IV
Fam60a	Group Va
Hmgn2	Group Va
Erdr1	Group Va
Gpc3	Group Va
Myef2	Group Va
Khsrp	Group Va
Gm12070	Group Va
Slc24a5	Group Va
Gm5506	Group Va
Cdkn1c	Group Va
Snrpf	Group Va
Otub1	Group Va
Set	Group Va
Cbx3	Group Va
Pdcd4	Group Va
Rps21	Group Va
Tmsb10	Group Va
Sox9	Group Va
Krt19	Group Vb
Agrn	Group Vb
Akap5	Group Vb
Myh9	Group Vb
Rpl13a	Group Vb
Sod1	Group Vb
Slc39a1	Group Vb
Cldn18	Group Vb
Tspan8	Group Vb
Dpysl2	Group Vb
Rpl29	Group Vb
Fstl1	Group Vb
Pdpn	Group Vb
