gene	celltype
Hist1h2ao	Plexus
Top2a	Plexus
Mki67	Plexus
Lmnb1	Plexus
Smc2	Plexus
Cdk1	Plexus
H2afx	Plexus
Cenpa	Plexus
Cenpf	Plexus
Cenpe	Plexus
Ube2c	Plexus
Tpx2	Plexus
Fbn2	Plexus
Car4	aCap
Krt80	aCap
Fibin	aCap
AW112010	aCap
Tbx2	aCap
Tppp3	aCap
Tmod2	aCap
Itga3	aCap
Nhlrc2	aCap
Fgfr3	aCap
Apln	aCap
Atp8a1	aCap
Hspb1	aCap
Sept4	aCap
Bcam	aCap
Sema7a	aCap
Ednrb	aCap
Clu	aCap
Acer2	gCap
Sema3c	gCap
Vegfa	gCap
Npr3	gCap
Bmp6	gCap
Sema3g	gCap
Socs3	gCap
Cxcl12	gCap
Gpihbp1	gCap
Aplnr	gCap
Tmsb10	gCap
Igfbp4	gCap
Tek	gCap
Foxp1	gCap
Kit	gCap
Itga6	gCap
Ptprb	gCap
Sparc	gCap
Cd93	gCap
Scn7a	Capillary
Cldn5	Capillary
Pecam1	Endothelium
